時刻,番線,接近種別,路線A,直通・周り・経由他,種別A,愛称:A,号数:A,行先:A,ドア数,両数A,増解結&2列車有無,時刻:b,路線B,経由他,種別B,愛称:B,号数:b,行先:B,両数B,列・電,付帯:予告,付帯:接近,付帯:連呼・戸閉
5:06,2,2,上東東海道線,直通,普通,,,小田原,4つドア:G,15,0,,,,,,,,,列車,,,
,1,6,,,貨物,,,,,,0,,,,,,,,,列車,,,
5:23,2,2,湘新東海道線,直通,普通,,,平塚,4つドア:G,15,0,,,,,,,,,列車,\n空白0.5秒\nさいたま新都心\nには\n停車いたしません,\n空白0.5秒\nさいたま新都心\nには\n停車いたしません,
5:33,2,2,上東東海道線,直通,普通,,,小田原,4つドア:G,15,0,,,,,,,,,列車,,,
5:41,1,0,上東東海道線,直通,普通,,,熱海,4つドア:G,10,0,,,,,,,,,列車,\n空白0.5秒\nホームの\n高崎\n寄りには止まりません\n空白0.5秒\n普通車は\n足元の\n青い\n乗車口\n1号車から\n3号車と\n6号車から\n10号車で\nお待ちください,\n空白0.5秒\nホームの\n高崎\n寄りには止まりません,
,1,6,,,回送,,,,,,0,,,,,,,,,列車,,,
5:50,2,2,,,普通,,,上野,4つドア:G,10,0,,,,,,,,,列車,\n空白0.5秒\nホームの\n高崎\n寄りには止まりません\n空白0.5秒\n普通車は\n足元の\n青い\n乗車口\n1号車から\n3号車と\n6号車から\n10号車で\nお待ちください,\n空白0.5秒\nホームの\n高崎\n寄りには止まりません,
5:56,1,0,上東東海道線,直通,普通,,,国府津,4つドア:G,10,1:後ろより,,,,,,,当駅,5,列車,,,
6:03,2,2,,,普通,,,上野,4つドア:G,10,0,,,,,,,,,列車,\n空白0.5秒\nホームの\n高崎\n寄りには止まりません\n空白0.5秒\n普通車は\n足元の\n青い\n乗車口\n1号車から\n3号車と\n6号車から\n10号車で\nお待ちください,\n空白0.5秒\nホームの\n高崎\n寄りには止まりません,
6:09,1,2,上東東海道線,直通,普通,,,小田原,4つドア:G,15,0,,,,,,,,,列車,,,
6:14,2,2,湘新東海道線,直通,普通,,,平塚,4つドア:G,15,0,,,,,,,,,列車,\n空白0.5秒\nさいたま新都心\nには\n停車いたしません,\n空白0.5秒\nさいたま新都心\nには\n停車いたしません,
