時刻,番線,接近種別,路線A,直通・周り・経由他,種別A,愛称:A,号数:A,行先:A,ドア数,両数A,増解結&2列車有無,時刻:b,路線B,経由他,種別B,愛称:B,号数:b,行先:B,両数B,列・電,付帯:予告,付帯:接近,付帯:連呼・戸閉
5:34,4,0,横須賀線,戸閉,普通,,,東京,,15,0,,,,,,,,,電車,\n空白0.5秒\n次は\n西大井\nに\n止まります\n空白0.5秒\nこの電車は\n大崎\n渋谷\n新宿\n方面にはまいりません\n空白0.5秒\nグリーン車は\n柱番号\n8番と9番で\nお待ちください,\n空白0.5秒\n次は\n西大井\nに\n止まります\n空白0.5秒\nこの電車は\n大崎\n渋谷\n新宿\n方面にはまいりません\n空白0.5秒\nグリーン車は\n柱番号\n8番と9番で\nお待ちください,1\n空白0.5秒\n足元に\nご注意ください\n空白0.25秒\n次は\n西大井\nに\n止まります
5:51,4,0,横須賀線,戸閉,普通,,,成田空港,,15,0,,,,,,,,,電車,\n空白0.5秒\n次は\n西大井\nに\n止まります\n空白0.5秒\nこの電車は\n大崎\n渋谷\n新宿\n方面にはまいりません\n空白0.5秒\nグリーン車は\n柱番号\n8番と9番で\nお待ちください,\n空白0.5秒\n次は\n西大井\nに\n止まります\n空白0.5秒\nこの電車は\n大崎\n渋谷\n新宿\n方面にはまいりません\n空白0.5秒\nグリーン車は\n柱番号\n8番と9番で\nお待ちください,\n空白0.5秒\n足元に\nご注意ください\n空白0.25秒\n次は\n西大井\nに\n止まります
5:55,4,0,,,特急,成田エクスプレス,1号,成田空港,,6,,,,,,,,,,列車,\n空白0.5秒\nホームの\n中程に\n止まります\n空白0.5秒\n頭上の\n成田エクスプレス\n乗車口案内板で\nお待ちください\n足元\n赤い\n成田エクスプレス\n乗車口\n1号車\nから\n6号車\nで\nお待ちください\n空白0.5秒\nご乗車には\n乗車券・Suicaの他に\n指定席\n特急券が\n必要です,\n空白0.5秒\nホームの\n中程に\n止まります\n空白0.5秒\nご乗車には\n乗車券・Suicaの他に\n指定席\n特急券が\n必要です,
6:15,4,0,横須賀線,戸閉,普通,,,千葉,,15,0,,,,,,,,,電車,\n空白0.5秒\n次は\n西大井\nに\n止まります\n空白0.5秒\nこの電車は\n大崎\n渋谷\n新宿\n方面にはまいりません\n空白0.5秒\nグリーン車は\n柱番号\n8番と9番で\nお待ちください,\n空白0.5秒\n次は\n西大井\nに\n止まります\n空白0.5秒\nこの電車は\n大崎\n渋谷\n新宿\n方面にはまいりません\n空白0.5秒\nグリーン車は\n柱番号\n8番と9番で\nお待ちください,\n空白0.5秒\n足元に\nご注意ください\n空白0.25秒\n次は\n西大井\nに\n止まります
6:20,4,0,埼京線,直通,各駅停車,,,新宿,,10,0,,,,,,,,,列車,\n空白0.5秒\n次は\n西大井\nに\n止まります\n空白0.5秒\n足元\n緑色の\n埼京線\n乗車口で\nお待ちください\n空白0.5秒\nこの列車は\n品川\n東京(連呼)\n錦糸町\n方面にはまいりません\n空白0.5秒\nこの列車には\nグリーン車はついておりません,\n空白0.5秒\n次は\n西大井\nに\n止まります\n空白0.5秒\nこの列車は\n品川\n東京(連呼)\n錦糸町\n方面にはまいりません\n空白0.5秒\nこの列車には\nグリーン車はついておりません,\n空白0.5秒\n足元に\nご注意ください\n空白0.25秒\n次は\n西大井\nに\n止まります
6:30,4,0,横須賀線,戸閉,普通,,,君津,,15,,,,,,,,,,電車,\n空白0.5秒\n次は\n西大井\nに\n止まります\n空白0.5秒\nこの電車は\n大崎\n渋谷\n新宿\n方面にはまいりません\n空白0.5秒\nグリーン車は\n柱番号\n8番と9番で\nお待ちください,\n空白0.5秒\n次は\n西大井\nに\n止まります\n空白0.5秒\nこの電車は\n大崎\n渋谷\n新宿\n方面にはまいりません\n空白0.5秒\nグリーン車は\n柱番号\n8番と9番で\nお待ちください,\n空白0.5秒\n足元に\nご注意ください\n空白0.25秒\n次は\n西大井\nに\n止まります
6:34,4,0,,,特急,成田エクスプレス,3号,成田空港,,6,0,,,,,,,,,列車,\n空白0.5秒\nホームの\n中程に\n止まります\n空白0.5秒\n頭上の\n成田エクスプレス\n乗車口案内板で\nお待ちください\n足元\n赤い\n成田エクスプレス\n乗車口\n1号車\nから\n6号車\nで\nお待ちください\n空白0.5秒\nご乗車には\n乗車券・Suicaの他に\n指定席\n特急券が\n必要です,\n空白0.5秒\nホームの\n中程に\n止まります\n空白0.5秒\nご乗車には\n乗車券・Suicaの他に\n指定席\n特急券が\n必要です,
6:37,4,0,湘新高崎線,直通,快速,,,高崎,4つドア,15,2:前より,,,,,,,籠原,5,列車,\n空白0.5秒\n次は\n大崎\nに\n止まります\n空白0.5秒\n足元\nオレンジ色の\n乗車口で\nお待ちください\nグリーン車は\n柱番号\n4番と5番で\nお待ちください\n空白0.5秒\n西大井\nには\n停車いたしません\n空白0.5秒\nこの列車は\n品川\n東京(連呼)\n錦糸町\n方面にはまいりません,\n空白0.5秒\n次は\n大崎\nに\n止まります\n空白0.5秒\n足元\nオレンジ色の\n乗車口で\nお待ちください\nグリーン車は\n柱番号\n4番と5番で\nお待ちください\n空白0.5秒\n西大井\nには\n停車いたしません\n空白0.5秒\nこの列車は\n品川\n東京(連呼)\n錦糸町\n方面にはまいりません,\n空白0.5秒\n足元に\nご注意ください\n空白0.25秒\n次は\n大崎\nに\n止まります
6:40,4,0,横須賀線,戸閉,普通,,,成田空港,,11,4,,,,,,,成東,4,電車,\n空白0.5秒\n次は\n西大井\nに\n止まります\n空白0.5秒\nこの電車は\n大崎\n渋谷\n新宿\n方面にはまいりません\n空白0.5秒\nグリーン車は\n柱番号\n8番と9番で\nお待ちください,\n空白0.5秒\n次は\n西大井\nに\n止まります\n空白0.5秒\nこの電車は\n大崎\n渋谷\n新宿\n方面にはまいりません\n空白0.5秒\nグリーン車は\n柱番号\n8番と9番で\nお待ちください,\n空白0.5秒\n足元に\nご注意ください\n空白0.25秒\n次は\n西大井\nに\n止まります
6:46,4,0,横須賀線,戸閉,普通,,,津田沼,,15,0,,,,,,,,,電車,\n空白0.5秒\n次は\n西大井\nに\n止まります\n空白0.5秒\nこの電車は\n大崎\n渋谷\n新宿\n方面にはまいりません\n空白0.5秒\nグリーン車は\n柱番号\n8番と9番で\nお待ちください,\n空白0.5秒\n次は\n西大井\nに\n止まります\n空白0.5秒\nこの電車は\n大崎\n渋谷\n新宿\n方面にはまいりません\n空白0.5秒\nグリーン車は\n柱番号\n8番と9番で\nお待ちください,\n空白0.5秒\n足元に\nご注意ください\n空白0.25秒\n次は\n西大井\nに\n止まります
