時刻,番線,接近種別,路線A,直通・周り・経由他,種別A,愛称:A,号数:A,行先:A,ドア数,両数A,増解結&2列車有無,時刻:b,路線B,経由他,種別B,愛称:B,号数:b,行先:B,両数B,列・電,付帯:予告,付帯:接近,付帯:連呼・戸閉
6:58,4,0,,,普通,,,高崎,4つドア,15,2:前より,,,,,,,籠原,5,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
7:22,4,0,,,普通,,,宇都宮,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
7:40,4,0,,,普通,,,籠原,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
7:59,4,0,,,普通,,,小金井,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
8:08,4,0,,,普通,,,高崎,4つドア,15,2:前より,,,,,,,籠原,5,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
8:17,4,0,,,普通,,,宇都宮,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
8:26,4,0,,,普通,,,籠原,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
8:39,4,0,,,普通,,,小金井,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
8:43,4,0,,,普通,,,高崎,4つドア,15,2:前より,,,,,,,籠原,5,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
8:54,4,0,,,普通,,,小金井,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
9:11,4,0,,,快速,,,宇都宮,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
9:25,4,0,,,普通,,,籠原,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
9:42,4,0,,,普通,,,宇都宮,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
9:53,4,0,,,普通,,,小金井,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
10:12,4,0,,,特別快速,,,高崎,4つドア,15,2:前より,,,,,,,籠原,5,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
10:36,4,0,,,快速,,,宇都宮,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
10:46,4,0,,,普通,,,宇都宮,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
10:51,4,0,,,普通,,,籠原,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
11:10,4,0,,,快速,,,宇都宮,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
11:20,4,0,,,特別快速,,,高崎,4つドア,15,2:前より,,,,,,,籠原,5,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
11:40,4,0,,,普通,,,宇都宮,4つドア,15,,,,,,,,,,列車,\n空白0.5秒\n足元\nオレンジ色の\n15両\n乗車口で\nお待ちください\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n足元\nオレンジ色の\n枠\n4号車と5号車で\nお待ちください,
