時刻,番線,接近種別,路線A,直通・周り・経由他,種別A,愛称:A,号数:A,行先:A,ドア数,両数A,増解結&2列車有無,時刻:b,路線B,経由他,種別B,愛称:B,号数:b,行先:B,両数B,列・電,付帯:予告,付帯:接近,付帯:連呼・戸閉
5:25,6,2,両毛線,,普通,,,小山,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
6:10,6,2,両毛線,,普通,,,小山,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\nこの列車は\n新前橋\nで\n吾妻線\n普通\n大前\n行きと\n連絡します\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,,1\n空白0.5秒\nこの列車は\n新前橋\nで\n吾妻線\n普通\n大前\n行きと\n連絡します
6:21,5,2,上越線,,普通,,,水上,3つドア,4,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
6:26,6,2,両毛線,,普通,,,伊勢崎,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
6:38,2,2,両毛線,,普通,,,前橋,4つドア:G,10,,,,,,,,,,列車,\n空白0.5秒\n足元の\n青色の\n乗車口\n10号車から\n1号車で\nお待ちください\nグリーン車は\n白色の\n枠\n4号車と\n5号車で\nお待ちください\n空白0.5秒\nこの列車は\n桐生\n足利\n佐野\n方面にはまいりません\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n青色の\n乗車口\n10号車から\n1号車で\nお待ちください\nグリーン車は\n白色の\n枠\n4号車と\n5号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
6:53,4,2,両毛線,,普通,,,小山,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
6:58,5,2,信越線,,普通,,,横川,3つドア,4,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n北高崎\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n北高崎\nに\n止まります,1\n空白0.5秒\n次は\n北高崎\nに\n止まります
7:02,6,3,両毛線,,普通,,,小山,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
7:11,5,2,上越線,,普通,,,水上,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
7:17,6,3,両毛線,,普通,,,桐生,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
7:26,2,2,吾妻線,,普通,,,長野原草津口,3つドア,4,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
7:30,4,3,信越線,,普通,,,横川,3つドア,4,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n北高崎\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n北高崎\nに\n止まります,
7:33,6,3,両毛線,,普通,,,伊勢崎,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
7:45,5,3,上越線,,普通,,,水上,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
7:51,6,2,両毛線,,普通,,,小山,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
8:02,4,3,信越線,,普通,,,横川,3つドア,4,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n北高崎\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n北高崎\nに\n止まります,
8:05,5,3,両毛線,,普通,,,伊勢崎,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
8:18,4,0,両毛線,直通,普通,,,前橋,4つドア:G,10,,,,,,,,,,列車,\n空白0.5秒\n足元の\n青色の\n乗車口\n10号車から\n1号車で\nお待ちください\nグリーン車は\n白色の\n枠\n4号車と\n5号車で\nお待ちください\n空白0.5秒\nこの列車は\n桐生\n足利\n佐野\n方面にはまいりません\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n青色の\n乗車口\n10号車から\n1号車で\nお待ちください\nグリーン車は\n白色の\n枠\n4号車と\n5号車で\nお待ちください\n空白0.5秒\nこの列車は\n桐生\n足利\n佐野\n方面にはまいりません\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
8:23,6,3,上越線,,普通,,,水上,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
8:36,5,3,両毛線,,普通,,,小山,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,,
8:50,5,3,信越線,,普通,,,横川,3つドア,4,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n北高崎\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n北高崎\nに\n止まります,
8:53,4,3,吾妻線,,普通,,,大前,3つドア,4,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,,
9:07,6,3,両毛線,,普通,,,伊勢崎,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
9:23,5,3,信越線,,普通,,,横川,3つドア,4,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n北高崎\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n北高崎\nに\n止まります,
9:27,2,2,両毛線,,普通,,,前橋,4つドア:G,10,,,,,,,,,,列車,\n空白0.5秒\n足元の\n青色の\n乗車口\n10号車から\n1号車で\nお待ちください\nグリーン車は\n白色の\n枠\n4号車と\n5号車で\nお待ちください\n空白0.5秒\nこの列車は\n桐生\n足利\n佐野\n方面にはまいりません\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります\n空白0.5秒この列車は\n新前橋\nで\n上越線\n普通\n水上\n行きと\n連絡します,\n空白0.5秒\n足元の\n青色の\n乗車口\n10号車から\n1号車で\nお待ちください\nグリーン車は\n白色の\n枠\n4号車と\n5号車で\nお待ちください\n空白0.5秒\nこの列車は\n桐生\n足利\n佐野\n方面にはまいりません\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります\n空白0.5秒この列車は\n新前橋\nで\n上越線\n普通\n水上\n行きと\n連絡します,
9:37,6,3,両毛線,,普通,,,小山,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
10:07,6,3,両毛線,,普通,,,伊勢崎,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
10:20,2,0,吾妻線,直通,特急,草津,31,長野原草津口,,7,,,,,,,,,,列車,\n空白0.5秒\nグリーン車は\n4号車\n空白0.25秒\n自由席は\n1号車と\n2号車\nです\n空白0.5秒\nこの列車は\n新前橋\n渋川\n中之条\nに\n止まります\n空白0.5秒\nご乗車には\n乗車券・Suicaの他に\n特急券が\n必要です\n空白0.5秒\n足元\n赤い\n特急\n乗車口\n7号車から\n1号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n4号車\n空白0.25秒\n自由席は\n1号車と\n2号車\nです\n空白0.5秒\nこの列車は\n新前橋\n渋川\n中之条\nに\n止まります\n空白0.5秒\nご乗車には\n乗車券・Suicaの他に\n特急券が\n必要です\n空白0.5秒\n足元\n赤い\n特急\n乗車口\n7号車から\n1号車で\nお待ちください,
10:23,5,3,信越線,,普通,,,横川,3つドア,4,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n北高崎\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n北高崎\nに\n止まります,
10:25,6,3,上越線,,普通,,,水上,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
10:37,6,3,両毛線,,普通,,,小山,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
10:44,5,3,吾妻線,,普通,,,万座・鹿沢口,3つドア,4,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
10:58,4,0,上越線,直通,普通,,,新前橋,4つドア:G,10,,,,,,,,,,列車,\n空白0.5秒\n足元の\n青色の\n乗車口\n10号車から\n1号車で\nお待ちください\nグリーン車は\n白色の\n枠\n4号車と\n5号車で\nお待ちください,\n空白0.5秒\n足元の\n青色の\n乗車口\n10号車から\n1号車で\nお待ちください\nグリーン車は\n白色の\n枠\n4号車と\n5号車で\nお待ちください,
11:07,6,3,両毛線,,普通,,,伊勢崎,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
11:19,2,0,吾妻線,直通,特急,草津,1,長野原草津口,,7,,,,,,,,,,列車,\n空白0.5秒\nグリーン車は\n4号車\n空白0.25秒\n自由席は\n1号車と\n2号車\nです\n空白0.5秒\nこの列車は\n新前橋\n渋川\n中之条\nに\n止まります\n空白0.5秒\nご乗車には\n乗車券・Suicaの他に\n特急券が\n必要です\n空白0.5秒\n足元\n赤い\n特急\n乗車口\n7号車から\n1号車で\nお待ちください,\n空白0.5秒\nグリーン車は\n4号車\n空白0.25秒\n自由席は\n1号車と\n2号車\nです\n空白0.5秒\nこの列車は\n新前橋\n渋川\n中之条\nに\n止まります\n空白0.5秒\nご乗車には\n乗車券・Suicaの他に\n特急券が\n必要です\n空白0.5秒\n足元\n赤い\n特急\n乗車口\n7号車から\n1号車で\nお待ちください,
11:23,5,3,信越線,,普通,,,横川,3つドア,4,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n北高崎\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n北高崎\nに\n止まります,
11:37,6,3,両毛線,,普通,,,小山,3つドア,6,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n6号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
11:44,6,3,吾妻線,,普通,,,長野原草津口,3つドア,4,,,,,,,,,,列車,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,\n空白0.5秒\n足元の\n黄色の\n乗車口\n4号車から\n1号車で\nお待ちください\n空白0.5秒\n次は\n高崎問屋町\nに\n止まります,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
