時刻,番線,接近種別,路線A,直通・周り・経由他,種別A,愛称:A,号数:A,行先:A,ドア数,両数A,増解結&2列車有無,時刻:b,路線B,経由他,種別B,愛称:B,号数:b,行先:B,両数B,列・電,付帯:予告,付帯:接近,付帯:連呼・戸閉
5:10,7,0,上東東海道線,直通,普通,,,熱海,4つドア:G,10,0,,,,,,,,,列車,空白0.5秒\n足元\n青色の\n高崎線\n乗車口で\nお待ちください,,
5:24,8,2,上東東海道線,直通,普通,,,小田原,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,足元\n青色の\n高崎線\n乗車口で\nお待ちください,,
5:28,3,2,八高線,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,普通,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
